iter	Passed	Remaining
0	162	162027
1	164	82047
2	166	55463
3	168	41901
4	169	33771
5	171	28336
6	172	24453
7	173	21540
8	175	19286
9	176	17464
10	177	15977
11	179	14752
12	180	13703
13	181	12796
14	183	12030
15	184	11363
16	187	10837
17	189	10341
18	191	9872
19	192	9431
20	194	9047
21	195	8701
22	201	8568
23	203	8272
24	205	8008
25	206	7750
26	208	7512
27	210	7324
28	212	7127
29	214	6927
30	215	6741
31	217	6566
32	218	6403
33	219	6248
34	221	6117
35	224	6006
36	225	5878
37	227	5756
38	228	5641
39	230	5531
40	231	5421
41	233	5328
42	235	5236
43	236	5149
44	238	5057
45	239	4974
46	241	4893
47	242	4815
48	244	4740
49	245	4668
50	247	4602
51	248	4538
52	250	4481
53	252	4420
54	253	4363
55	255	4307
56	257	4255
57	258	4204
58	260	4148
59	261	4100
60	263	4053
61	264	4005
62	266	3961
63	267	3917
64	269	3872
65	270	3830
66	272	3789
67	273	3750
68	275	3711
69	276	3679
70	278	3642
71	279	3606
72	281	3569
73	282	3536
74	284	3503
75	285	3471
76	287	3440
77	288	3408
78	289	3380
79	291	3351
80	292	3323
81	294	3295
82	295	3267
83	297	3241
84	298	3213
85	299	3186
86	301	3162
87	304	3152
88	306	3133
89	307	3113
90	309	3090
91	310	3068
92	312	3047
93	314	3026
94	315	3005
95	317	2986
96	319	2972
97	321	2958
98	324	2953
99	326	2934
100	328	2921
101	329	2903
102	331	2884
103	332	2866
104	334	2848
105	335	2830
106	337	2813
107	338	2796
108	340	2779
109	342	2774
110	344	2760
111	346	2744
112	347	2729
113	350	2721
114	351	2708
115	353	2694
116	356	2686
117	357	2673
118	359	2659
119	360	2646
120	362	2633
121	363	2619
122	365	2605
123	366	2592
124	368	2578
125	370	2566
126	371	2553
127	372	2540
128	374	2526
129	375	2512
130	376	2499
131	378	2487
132	379	2474
133	381	2463
134	382	2452
135	384	2440
136	385	2429
137	387	2418
138	388	2407
139	390	2396
140	391	2384
141	392	2373
142	395	2369
143	396	2359
144	398	2349
145	399	2338
146	401	2328
147	402	2318
148	404	2308
149	405	2299
150	407	2292
151	409	2282
152	410	2273
153	412	2264
154	413	2255
155	415	2246
156	416	2237
157	418	2228
158	419	2217
159	420	2208
160	422	2200
161	423	2192
162	425	2183
163	426	2174
164	428	2166
165	429	2156
166	430	2147
167	432	2139
168	433	2133
169	436	2130
170	437	2123
171	439	2115
172	441	2108
173	442	2101
174	444	2094
175	446	2088
176	447	2081
177	449	2075
178	450	2068
179	452	2060
180	453	2053
181	455	2046
182	456	2039
183	458	2032
184	459	2023
185	461	2018
186	464	2018
187	466	2013
188	468	2010
189	470	2003
190	471	1996
191	472	1990
192	474	1983
193	475	1977
194	478	1973
195	479	1967
196	481	1960
197	483	1957
198	485	1956
199	487	1951
200	489	1947
201	491	1942
202	493	1937
203	495	1932
204	496	1927
205	498	1923
206	500	1918
207	502	1913
208	504	1907
209	505	1901
210	506	1895
211	507	1887
212	509	1882
213	510	1876
214	514	1878
215	515	1872
216	521	1880
217	527	1891
218	528	1886
219	530	1880
220	532	1876
221	535	1876
222	537	1871
223	538	1864
224	539	1859
225	541	1853
226	542	1848
227	544	1843
228	545	1838
229	547	1832
230	549	1830
231	551	1827
232	553	1821
233	555	1817
234	557	1815
235	559	1811
236	561	1806
237	562	1801
238	564	1797
239	566	1792
240	567	1788
241	569	1783
242	571	1779
243	573	1775
244	574	1770
245	576	1765
246	577	1760
247	578	1755
248	580	1750
249	581	1745
250	583	1740
251	584	1736
252	586	1731
253	587	1726
254	589	1721
255	590	1716
256	592	1712
257	593	1707
258	594	1701
